contract,feature,dtype,is_strong_composite_proxy,prediction_time_available
competition_proxy_inclusive,Age,int64,False,True
competition_proxy_inclusive,Gender,str,False,True
competition_proxy_inclusive,Height_cm,float64,False,True
competition_proxy_inclusive,Weight_kg,float64,False,True
competition_proxy_inclusive,BMI,float64,False,True
competition_proxy_inclusive,Country,str,False,True
competition_proxy_inclusive,Occupation,str,False,True
competition_proxy_inclusive,Marital_Status,str,False,True
competition_proxy_inclusive,Wake_Up_Time,str,False,True
competition_proxy_inclusive,Sleep_Time,str,False,True
competition_proxy_inclusive,Sleep_Duration_Hours,float64,False,True
competition_proxy_inclusive,Sleep_Quality_Score,float64,False,True
competition_proxy_inclusive,Number_of_Night_Awakenings,int64,False,True
competition_proxy_inclusive,Weekend_Sleep_Difference_Hours,float64,False,True
competition_proxy_inclusive,Nap_Frequency_Per_Week,int64,False,True
competition_proxy_inclusive,Screen_Time_Before_Bed_Hours,float64,False,True
competition_proxy_inclusive,Exercise_Frequency_Per_Week,int64,False,True
competition_proxy_inclusive,Exercise_Duration_Minutes,int64,False,True
competition_proxy_inclusive,Exercise_Type,str,False,True
competition_proxy_inclusive,Daily_Steps,int64,False,True
competition_proxy_inclusive,Morning_Workout,str,False,True
competition_proxy_inclusive,Workout_Intensity,str,False,True
competition_proxy_inclusive,Gym_Member,str,False,True
competition_proxy_inclusive,Daily_Calorie_Intake,int64,False,True
competition_proxy_inclusive,Water_Intake_Liters,float64,False,True
competition_proxy_inclusive,Fruit_Intake_Per_Day,int64,False,True
competition_proxy_inclusive,Vegetable_Intake_Per_Day,int64,False,True
competition_proxy_inclusive,Protein_Intake_Grams,float64,False,True
competition_proxy_inclusive,Sugary_Drinks_Per_Week,int64,False,True
competition_proxy_inclusive,Fast_Food_Meals_Per_Week,int64,False,True
competition_proxy_inclusive,Breakfast_Regularity_Score,float64,False,True
competition_proxy_inclusive,Smoking_Status,str,False,True
competition_proxy_inclusive,Alcohol_Consumption,str,False,True
competition_proxy_inclusive,Stress_Level,float64,False,True
competition_proxy_inclusive,Working_Hours_Per_Day,float64,False,True
competition_proxy_inclusive,Sitting_Hours_Per_Day,float64,False,True
competition_proxy_inclusive,Outdoor_Time_Hours,float64,False,True
competition_proxy_inclusive,Social_Interaction_Score,float64,False,True
competition_proxy_inclusive,Meditation_Practice,str,False,True
competition_proxy_inclusive,Resting_Heart_Rate,int64,False,True
competition_proxy_inclusive,Systolic_BP,int64,False,True
competition_proxy_inclusive,Diastolic_BP,int64,False,True
competition_proxy_inclusive,Cholesterol_Level,float64,False,True
competition_proxy_inclusive,Blood_Sugar_Level,float64,False,True
competition_proxy_inclusive,Energy_Level_Score,float64,False,True
competition_proxy_inclusive,Fatigue_Level_Score,float64,False,True
competition_proxy_inclusive,Immune_Health_Score,float64,False,True
competition_proxy_inclusive,Mood_Score,float64,False,True
competition_proxy_inclusive,Anxiety_Score,float64,False,True
competition_proxy_inclusive,Depression_Risk_Score,float64,False,True
competition_proxy_inclusive,Productivity_Score,float64,False,True
competition_proxy_inclusive,Focus_Concentration_Score,float64,False,True
competition_proxy_inclusive,Life_Satisfaction_Score,float64,False,True
competition_proxy_inclusive,Obesity_Risk,str,False,True
competition_proxy_inclusive,Hypertension_Risk,str,False,True
competition_proxy_inclusive,Diabetes_Risk,str,False,True
competition_proxy_inclusive,Cardiovascular_Risk,str,False,True
competition_proxy_inclusive,Sleep_Disorder_Risk,str,False,True
competition_proxy_inclusive,Healthy_Aging_Score,float64,True,True
competition_proxy_inclusive,Early_Waker,str,False,True
scientific_proxy_removed,Age,int64,False,True
scientific_proxy_removed,Gender,str,False,True
scientific_proxy_removed,Height_cm,float64,False,True
scientific_proxy_removed,Weight_kg,float64,False,True
scientific_proxy_removed,BMI,float64,False,True
scientific_proxy_removed,Country,str,False,True
scientific_proxy_removed,Occupation,str,False,True
scientific_proxy_removed,Marital_Status,str,False,True
scientific_proxy_removed,Wake_Up_Time,str,False,True
scientific_proxy_removed,Sleep_Time,str,False,True
scientific_proxy_removed,Sleep_Duration_Hours,float64,False,True
scientific_proxy_removed,Sleep_Quality_Score,float64,False,True
scientific_proxy_removed,Number_of_Night_Awakenings,int64,False,True
scientific_proxy_removed,Weekend_Sleep_Difference_Hours,float64,False,True
scientific_proxy_removed,Nap_Frequency_Per_Week,int64,False,True
scientific_proxy_removed,Screen_Time_Before_Bed_Hours,float64,False,True
scientific_proxy_removed,Exercise_Frequency_Per_Week,int64,False,True
scientific_proxy_removed,Exercise_Duration_Minutes,int64,False,True
scientific_proxy_removed,Exercise_Type,str,False,True
scientific_proxy_removed,Daily_Steps,int64,False,True
scientific_proxy_removed,Morning_Workout,str,False,True
scientific_proxy_removed,Workout_Intensity,str,False,True
scientific_proxy_removed,Gym_Member,str,False,True
scientific_proxy_removed,Daily_Calorie_Intake,int64,False,True
scientific_proxy_removed,Water_Intake_Liters,float64,False,True
scientific_proxy_removed,Fruit_Intake_Per_Day,int64,False,True
scientific_proxy_removed,Vegetable_Intake_Per_Day,int64,False,True
scientific_proxy_removed,Protein_Intake_Grams,float64,False,True
scientific_proxy_removed,Sugary_Drinks_Per_Week,int64,False,True
scientific_proxy_removed,Fast_Food_Meals_Per_Week,int64,False,True
scientific_proxy_removed,Breakfast_Regularity_Score,float64,False,True
scientific_proxy_removed,Smoking_Status,str,False,True
scientific_proxy_removed,Alcohol_Consumption,str,False,True
scientific_proxy_removed,Stress_Level,float64,False,True
scientific_proxy_removed,Working_Hours_Per_Day,float64,False,True
scientific_proxy_removed,Sitting_Hours_Per_Day,float64,False,True
scientific_proxy_removed,Outdoor_Time_Hours,float64,False,True
scientific_proxy_removed,Social_Interaction_Score,float64,False,True
scientific_proxy_removed,Meditation_Practice,str,False,True
scientific_proxy_removed,Resting_Heart_Rate,int64,False,True
scientific_proxy_removed,Systolic_BP,int64,False,True
scientific_proxy_removed,Diastolic_BP,int64,False,True
scientific_proxy_removed,Cholesterol_Level,float64,False,True
scientific_proxy_removed,Blood_Sugar_Level,float64,False,True
scientific_proxy_removed,Energy_Level_Score,float64,False,True
scientific_proxy_removed,Fatigue_Level_Score,float64,False,True
scientific_proxy_removed,Immune_Health_Score,float64,False,True
scientific_proxy_removed,Mood_Score,float64,False,True
scientific_proxy_removed,Anxiety_Score,float64,False,True
scientific_proxy_removed,Depression_Risk_Score,float64,False,True
scientific_proxy_removed,Productivity_Score,float64,False,True
scientific_proxy_removed,Focus_Concentration_Score,float64,False,True
scientific_proxy_removed,Life_Satisfaction_Score,float64,False,True
scientific_proxy_removed,Obesity_Risk,str,False,True
scientific_proxy_removed,Hypertension_Risk,str,False,True
scientific_proxy_removed,Diabetes_Risk,str,False,True
scientific_proxy_removed,Cardiovascular_Risk,str,False,True
scientific_proxy_removed,Sleep_Disorder_Risk,str,False,True
scientific_proxy_removed,Early_Waker,str,False,True
