contract,model,transformed_feature,coefficient_mean,coefficient_std,abs_coefficient_mean
full_non_sleep,elastic_alpha_0p001_l1_0p9,num__Health_Score,1.6351984480819717,0.05062301026986543,1.6351984480819717
full_non_sleep,elastic_alpha_0p001_l1_0p9,num__Exercise_Frequency_Per_Week,-1.0589618702444565,0.00691550846357022,1.0589618702444565
full_non_sleep,elastic_alpha_0p001_l1_0p9,num__Stress_Level,0.8445595487882203,0.007546133187702478,0.8445595487882203
full_non_sleep,elastic_alpha_0p001_l1_0p9,cat__Smoking_Status_Current,0.592789774165037,0.013425662017160795,0.592789774165037
full_non_sleep,elastic_alpha_0p001_l1_0p9,cat__Morning_Workout_No,0.512192631193141,0.008698939493290826,0.512192631193141
full_non_sleep,elastic_alpha_0p001_l1_0p9,num__BMI,0.507199792667634,0.018731068528826052,0.507199792667634
full_non_sleep,elastic_alpha_0p001_l1_0p9,cat__Meditation_Practice_No,0.4766397180495267,0.008792927571547524,0.4766397180495267
full_non_sleep,elastic_alpha_0p001_l1_0p9,cat__Obesity_Risk_High,0.41906690020277126,0.019575537655120746,0.41906690020277126
full_non_sleep,elastic_alpha_0p001_l1_0p9,cat__Alcohol_Consumption_Heavy,0.3999263147436163,0.009782767772679595,0.3999263147436163
full_non_sleep,elastic_alpha_0p001_l1_0p9,num__Productivity_Score,0.3233888057991024,0.006805527742052222,0.3233888057991024
full_non_sleep,elastic_alpha_0p001_l1_0p9,num__Fast_Food_Meals_Per_Week,0.31197586828769436,0.005430526063172321,0.31197586828769436
full_non_sleep,elastic_alpha_0p001_l1_0p9,num__Fatigue_Level_Score,-0.2684265284256059,0.004192522854831325,0.2684265284256059
full_non_sleep,elastic_alpha_0p001_l1_0p9,num__Energy_Level_Score,0.2559531341159328,0.010179830681720957,0.2559531341159328
full_non_sleep,elastic_alpha_0p001_l1_0p9,num__Anxiety_Score,-0.25292469073248686,0.006839411171648467,0.25292469073248686
full_non_sleep,elastic_alpha_0p001_l1_0p9,num__Mood_Score,0.24504132913573326,0.010910266985405499,0.24504132913573326
full_non_sleep,elastic_alpha_0p001_l1_0p9,num__Daily_Steps,-0.23931278654870408,0.0046733411802774355,0.23931278654870408
full_non_sleep,elastic_alpha_0p001_l1_0p9,cat__Obesity_Risk_Low,-0.2166630381872508,0.008352595174406157,0.2166630381872508
full_non_sleep,elastic_alpha_0p001_l1_0p9,num__Focus_Concentration_Score,0.20908707016418174,0.0027094407694599415,0.20908707016418174
full_non_sleep,elastic_alpha_0p001_l1_0p9,num__Depression_Risk_Score,-0.1494796797473698,0.007837258946335786,0.1494796797473698
full_non_sleep,elastic_alpha_0p001_l1_0p9,num__Vegetable_Intake_Per_Day,-0.13896729871860636,0.005276161847825051,0.13896729871860636
full_non_sleep,elastic_alpha_0p001_l1_0p9,cat__Meditation_Practice_Yes,-0.1375164880523166,0.004874927252998967,0.1375164880523166
